Is_Press,Conductance,Weight_g,Force_N,Exp_ID
1.0,0.0107181134971263,1475.27,14.4723987,2
1.0,0.0106849021189774,1475.06,14.470338600000002,2
1.0,0.0106010811979107,1475.43,14.4739683,2
1.0,0.0104558760931004,1476.44,14.4838764,2
1.0,0.010508616955563,1476.4,14.483484000000002,2
1.0,0.0105019952688301,1476.29,14.4824049,2
1.0,0.011277771385161,1569.81,15.3998361,2
1.0,0.0113973101048859,1788.79,17.5480299,2
1.0,0.0139801479941262,2537.19,24.8898339,2
1.0,0.0144990573510358,2834.68,27.8082108,2
1.0,0.0149678189647085,2878.44,28.2374964,2
1.0,0.0151103049998442,2873.21,28.1861901,2
1.0,0.0148434018874365,2886.86,28.320096600000003,2
1.0,0.0157703829716072,2884.99,28.3017519,2
1.0,0.0154583395353479,2883.13,28.2835053,2
1.0,0.0156519014610752,2881.9,28.271439,2
1.0,0.0167224077471169,2880.35,28.2562335,2
1.0,0.0162548761987178,2878.73,28.2403413,2
1.0,0.0162416758771857,2877.55,28.228765500000005,2
1.0,0.0153139354469535,2877.83,28.2315123,2
1.0,0.0153256702632081,2877.58,28.2290598,2
1.0,0.0149476828856848,2876.43,28.217778300000003,2
1.0,0.0150852313307402,2875.52,28.2088512,2
1.0,0.0148038487815862,2875.01,28.2038481,2
1.0,0.0150240382358167,2873.58,28.1898198,2
1.0,0.0155908946742922,2872.39,28.1781459,2
1.0,0.0155448466416159,2873.53,28.189329300000004,2
1.0,0.0159184970404569,2873.62,28.1902122,2
1.0,0.0157232701930303,2873.21,28.1861901,2
1.0,0.0157878115600282,2872.29,28.1771649,2
1.0,0.0156911969921356,2870.33,28.1579373,2
1.0,0.0159718892194235,2869.42,28.1490102,2
1.0,0.0157878115600282,2868.6,28.140966,2
1.0,0.0158152773079981,2865.49,28.1104569,2
1.0,0.0159718892194235,2891.28,28.3634568,2
1.0,0.0160307788388781,2900.94,28.4582214,2
1.0,0.0157133875595005,2899.58,28.4448798,2
1.0,0.0156225587310957,2899.2,28.441152,2
1.0,0.0158052787133668,2898.62,28.4354622,2
1.0,0.0159846544759486,2898.16,28.4309496,2
1.0,0.0159540520747598,2897.49,28.4243769,2
1.0,0.0165782490620316,2897.11,28.4206491,2
1.0,0.0161004666543154,2896.77,28.4173137,2
1.0,0.016345210586054,2896.45,28.4141745,2
1.0,0.016345210586054,2897.1,28.420551000000003,2
1.0,0.0165343912610054,2898.36,28.432911600000004,2
1.0,0.0167954313605066,2897.88,28.428202800000005,2
1.0,0.0166889182795574,2897.27,28.4222187,2
